S D sites error reference estimation value 
10 0.1 86308 RMSE sample MLE_(unknown) 0.06423659 
10 0.1 86308 RMSE sample MLE_(known) 0.06469273 
10 0.1 86308 RMSE sample Expectation_(known) 0.1938077 
10 0.1 86308 RMSE population MLE_(unknown) 0.06849697 
10 0.1 86308 RMSE population MLE_(known) 0.06904873 
10 0.1 86308 RMSE population Expectation_(known) 0.1921318 
10 0.1 86308 bias sample MLE_(unknown) -0.02743284 
10 0.1 86308 bias sample MLE_(known) -0.02720026 
10 0.1 86308 bias sample Expectation_(known) 0.1752486 
10 0.1 86308 bias population MLE_(unknown) -0.02970663 
10 0.1 86308 bias population MLE_(known) -0.02947405 
10 0.1 86308 bias population Expectation_(known) 0.1729748 
10 0.5 99995 RMSE sample MLE_(unknown) 0.03767612 
10 0.5 99995 RMSE sample MLE_(known) 0.03764338 
10 0.5 99995 RMSE sample Expectation_(known) 0.07518977 
10 0.5 99995 RMSE population MLE_(unknown) 0.04625126 
10 0.5 99995 RMSE population MLE_(known) 0.04668754 
10 0.5 99995 RMSE population Expectation_(known) 0.07764919 
10 0.5 99995 bias sample MLE_(unknown) 0.001072025 
10 0.5 99995 bias sample MLE_(known) 0.001270564 
10 0.5 99995 bias sample Expectation_(known) 0.05716281 
10 0.5 99995 bias population MLE_(unknown) -0.00153457 
10 0.5 99995 bias population MLE_(known) -0.001336032 
10 0.5 99995 bias population Expectation_(known) 0.05455621 
10 1 100000 RMSE sample MLE_(unknown) 0.02774894 
10 1 100000 RMSE sample MLE_(known) 0.02809 
10 1 100000 RMSE sample Expectation_(known) 0.04468657 
10 1 100000 RMSE population MLE_(unknown) 0.0380202 
10 1 100000 RMSE population MLE_(known) 0.03922227 
10 1 100000 RMSE population Expectation_(known) 0.05022014 
10 1 100000 bias sample MLE_(unknown) 0.003080349 
10 1 100000 bias sample MLE_(known) 0.004365 
10 1 100000 bias sample Expectation_(known) 0.02865092 
10 1 100000 bias population MLE_(unknown) 0.000850727 
10 1 100000 bias population MLE_(known) 0.002135378 
10 1 100000 bias population Expectation_(known) 0.0264213 
10 2 100000 RMSE sample MLE_(unknown) 0.02057131 
10 2 100000 RMSE sample MLE_(known) 0.0221415 
10 2 100000 RMSE sample Expectation_(known) 0.02712277 
10 2 100000 RMSE population MLE_(unknown) 0.03278674 
10 2 100000 RMSE population MLE_(known) 0.03610532 
10 2 100000 RMSE population Expectation_(known) 0.03738142 
10 2 100000 bias sample MLE_(unknown) 0.003150225 
10 2 100000 bias sample MLE_(known) 0.0067435 
10 2 100000 bias sample Expectation_(known) 0.01443508 
10 2 100000 bias population MLE_(unknown) 0.0005761034 
10 2 100000 bias population MLE_(known) 0.004169378 
10 2 100000 bias population Expectation_(known) 0.01186096 
10 5 100000 RMSE sample MLE_(unknown) 0.01296053 
10 5 100000 RMSE sample MLE_(known) 0.0102825 
10 5 100000 RMSE sample Expectation_(known) 0.01276295 
10 5 100000 RMSE population MLE_(unknown) 0.02844693 
10 5 100000 RMSE population MLE_(known) 0.02918915 
10 5 100000 RMSE population Expectation_(known) 0.02908301 
10 5 100000 bias sample MLE_(unknown) 0.001620683 
10 5 100000 bias sample MLE_(known) 0.0009555 
10 5 100000 bias sample Expectation_(known) 0.003823397 
10 5 100000 bias population MLE_(unknown) -0.0007761679 
10 5 100000 bias population MLE_(known) -0.001441351 
10 5 100000 bias population Expectation_(known) 0.001426546 
10 10 100000 RMSE sample MLE_(unknown) 0.008859329 
10 10 100000 RMSE sample MLE_(known) 0.0057665 
10 10 100000 RMSE sample Expectation_(known) 0.006898458 
10 10 100000 RMSE population MLE_(unknown) 0.02694942 
10 10 100000 RMSE population MLE_(known) 0.0273367 
10 10 100000 RMSE population Expectation_(known) 0.02709323 
10 10 100000 bias sample MLE_(unknown) 0.0006697918 
10 10 100000 bias sample MLE_(known) -0.0001515 
10 10 100000 bias sample Expectation_(known) 0.000583696 
10 10 100000 bias population MLE_(unknown) -0.001840787 
10 10 100000 bias population MLE_(known) -0.002662079 
10 10 100000 bias population Expectation_(known) -0.001926883 
20 0.1 98242 RMSE sample MLE_(unknown) 0.0579512 
20 0.1 98242 RMSE sample MLE_(known) 0.05807241 
20 0.1 98242 RMSE sample Expectation_(known) 0.150734 
20 0.1 98242 RMSE population MLE_(unknown) 0.06092418 
20 0.1 98242 RMSE population MLE_(known) 0.06111756 
20 0.1 98242 RMSE population Expectation_(known) 0.1505122 
20 0.1 98242 bias sample MLE_(unknown) -0.0101069 
