D test LRT 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 null 0 
0.5 causal 15.6265 
0.5 causal 20.19963 
0.5 causal 8.237863 
0.5 causal 25.77531 
0.5 causal 22.10653 
0.5 causal 7.7982 
0.5 causal 53.42056 
0.5 causal 5.971641 
0.5 causal 4.404177 
0.5 causal 12.09601 
0.5 causal 10.07788 
0.5 causal 1.355624 
0.5 causal 21.39306 
0.5 causal 13.00778 
0.5 causal 3.440834 
0.5 causal 3.483104 
0.5 causal 2.470638 
0.5 causal 14.94178 
0.5 causal 2.977729 
0.5 causal 6.495782 
0.5 causal 13.84304 
0.5 causal 15.77183 
0.5 causal 10.17914 
0.5 causal 10.52935 
0.5 causal 0.1242524 
0.5 causal 2.825999 
0.5 causal 20.05975 
0.5 causal 0.9527946 
0.5 causal 7.27017 
0.5 causal 15.05658 
0.5 causal 2.311346 
0.5 causal 9.165483 
0.5 causal 4.83774 
0.5 causal 4.249314 
0.5 causal 29.21832 
0.5 causal 8.607582 
0.5 causal 2.1094 
0.5 causal 2.66391 
0.5 causal 8.333421 
0.5 causal 1.214726 
0.5 causal 11.89395 
0.5 causal 14.28095 
0.5 causal 14.17497 
0.5 causal 22.78563 
0.5 causal 3.879971 
0.5 causal 23.35697 
0.5 causal 1.148696 
0.5 causal 8.51311 
0.5 causal 4.491401 
0.5 causal 5.121637 
0.5 causal 1.305918 
0.5 causal 1.084562 
0.5 causal 3.370143 
0.5 causal 22.05641 
