S D F nsites True Predicted Value F1 
20 0.5 0 10000 0 0 8063 0.2792273 
20 0.5 0 10000 1 1 1937 0.2792273 
20 0.5 0 10000 1 0 8063 0.2792273 
20 0.5 0 10000 0 1 1937 0.2792273 
20 0.5 0.01 10000 0 0 8063 0.4091424 
20 0.5 0.01 10000 1 1 3070 0.4091424 
20 0.5 0.01 10000 1 0 6930 0.4091424 
20 0.5 0.01 10000 0 1 1937 0.4091424 
20 0.5 0.02 10000 0 0 8063 0.5039479 
20 0.5 0.02 10000 1 1 4021 0.5039479 
20 0.5 0.02 10000 1 0 5979 0.5039479 
20 0.5 0.02 10000 0 1 1937 0.5039479 
20 0.5 0.025 10000 0 0 8063 0.5435578 
20 0.5 0.025 10000 1 1 4455 0.5435578 
20 0.5 0.025 10000 1 0 5545 0.5435578 
20 0.5 0.025 10000 0 1 1937 0.5435578 
20 0.5 0.05 10000 0 0 8063 0.6891061 
20 0.5 0.05 10000 1 1 6275 0.6891061 
20 0.5 0.05 10000 1 0 3725 0.6891061 
20 0.5 0.05 10000 0 1 1937 0.6891061 
20 1 0 10000 0 0 6669 0.399832 
20 1 0 10000 1 1 3331 0.399832 
20 1 0 10000 1 0 6669 0.399832 
20 1 0 10000 0 1 3331 0.399832 
20 1 0.01 10000 0 0 6669 0.5323939 
20 1 0.01 10000 1 1 4836 0.5323939 
20 1 0.01 10000 1 0 5164 0.5323939 
20 1 0.01 10000 0 1 3331 0.5323939 
20 1 0.02 10000 0 0 6669 0.6213351 
20 1 0.02 10000 1 1 6008 0.6213351 
20 1 0.02 10000 1 0 3992 0.6213351 
20 1 0.02 10000 0 1 3331 0.6213351 
20 1 0.025 10000 0 0 6669 0.6557427 
20 1 0.025 10000 1 1 6503 0.6557427 
20 1 0.025 10000 1 0 3497 0.6557427 
20 1 0.025 10000 0 1 3331 0.6557427 
20 1 0.05 10000 0 0 6669 0.7589257 
20 1 0.05 10000 1 1 8152 0.7589257 
20 1 0.05 10000 1 0 1848 0.7589257 
20 1 0.05 10000 0 1 3331 0.7589257 
20 2 0 10000 0 0 8061 0.2794351 
20 2 0 10000 1 1 1939 0.2794351 
20 2 0 10000 1 0 8061 0.2794351 
20 2 0 10000 0 1 1939 0.2794351 
20 2 0.01 10000 0 0 8061 0.4945464 
20 2 0.01 10000 1 1 3922 0.4945464 
20 2 0.01 10000 1 0 6078 0.4945464 
20 2 0.01 10000 0 1 1939 0.4945464 
20 2 0.02 10000 0 0 8061 0.622635 
20 2 0.02 10000 1 1 5397 0.622635 
20 2 0.02 10000 1 0 4603 0.622635 
20 2 0.02 10000 0 1 1939 0.622635 
20 2 0.025 10000 0 0 8061 0.6689336 
20 2 0.025 10000 1 1 6000 0.6689336 
20 2 0.025 10000 1 0 4000 0.6689336 
20 2 0.025 10000 0 1 1939 0.6689336 
20 2 0.05 10000 0 0 8061 0.8143403 
20 2 0.05 10000 1 1 8200 0.8143403 
20 2 0.05 10000 1 0 1800 0.8143403 
20 2 0.05 10000 0 1 1939 0.8143403 
20 5 0 10000 0 0 9506 0.08991627 
20 5 0 10000 1 1 494 0.08991627 
20 5 0 10000 1 0 9506 0.08991627 
20 5 0 10000 0 1 494 0.08991627 
20 5 0.01 10000 0 0 9506 0.4787997 
20 5 0.01 10000 1 1 3303 0.4787997 
20 5 0.01 10000 1 0 6697 0.4787997 
20 5 0.01 10000 0 1 494 0.4787997 
20 5 0.02 10000 0 0 9506 0.6689498 
20 5 0.02 10000 1 1 5274 0.6689498 
20 5 0.02 10000 1 0 4726 0.6689498 
20 5 0.02 10000 0 1 494 0.6689498 
20 5 0.025 10000 0 0 9506 0.7297706 
20 5 0.025 10000 1 1 6029 0.7297706 
20 5 0.025 10000 1 0 3971 0.7297706 
20 5 0.025 10000 0 1 494 0.7297706 
