S D estimation value 
20 1 fit_count 0.7707412 
20 1 fit_afl_max1 0.7707412 
20 1 fit_afl_max3 0.8210076 
20 1 fit_afl 0.8993945 
20 2 fit_count 0.8446395 
20 2 fit_afl_max1 0.8446395 
20 2 fit_afl_max3 0.8792093 
20 2 fit_afl 0.9046366 
20 5 fit_count 0.9568183 
20 5 fit_afl_max1 0.9568185 
20 5 fit_afl_max3 0.9707402 
20 5 fit_afl 0.973967 
50 1 fit_count 0.8336177 
50 1 fit_afl_max1 0.8336177 
50 1 fit_afl_max3 0.8628888 
50 1 fit_afl 0.9192735 
50 2 fit_count 0.8863577 
50 2 fit_afl_max1 0.8863577 
50 2 fit_afl_max3 0.9101864 
50 2 fit_afl 0.931395 
50 5 fit_count 0.975859 
50 5 fit_afl_max1 0.9758589 
50 5 fit_afl_max3 0.9856913 
50 5 fit_afl 0.9894388 
100 1 fit_count 0.8947468 
100 1 fit_afl_max1 0.8947468 
100 1 fit_afl_max3 0.9143018 
100 1 fit_afl 0.9625881 
100 2 fit_count 0.9304859 
100 2 fit_afl_max1 0.9304858 
100 2 fit_afl_max3 0.9480223 
100 2 fit_afl 0.9675924 
100 5 fit_count 1.005321 
100 5 fit_afl_max1 1.005321 
100 5 fit_afl_max3 1.013522 
100 5 fit_afl 1.017147 
